near north side,786062.4000000013
near west side,439834.0
lake view,421085.19999999995
lincoln park,337215.20000000007
uptown,231806.70000000004
loop,222867.60000000015
hyde park,221938.60000000006
west town,194410.7000000001
edgewater,181028.80000000002
rogers park,167101.7
near south side,135739.40000000002
logan square,124194.49999999999
south shore,116024.40000000001
douglas,104145.50000000001
austin,103787.00000000003
kenwood,101523.1
west ridge,87592.49999999997
woodlawn,78552.09999999998
humboldt park,76486.39999999997
new city,68758.09999999999
grand boulevard,68631.29999999999
,65716.22105626
englewood,64994.099999999984
lincoln square,62648.399999999994
east garfield park,62374.99999999999
south lawndale,59282.59999999999
albany park,56580.400000000016
north lawndale,52833.5
belmont cragin,51185.399999999994
north center,50785.79999999999
auburn gresham,47204.20000000001
irving park,45613.0
norwood park,44531.399999999994
ashburn,43791.0
greater grand crossing,43483.70000000001
roseland,42926.100000000006
lower west side,42884.9
portage park,41992.6
oakland,41910.10000000001
avondale,41300.29999999999
brighton park,41034.4
north park,40388.4
armour square,38284.8
chicago lawn,34395.90000000001
gage park,33732.799999999996
chatham,32875.3
bridgeport,32181.900000000005
washington park,32092.5
washington heights,30152.399999999998
west lawn,28913.800000000003
south chicago,28829.600000000002
dunning,27368.799999999996
hermosa,24835.700000000004
west englewood,23951.3
ohare,22442.399999999998
west elsdon,22017.800000000003
pullman,17828.4
south deering,17190.5
west garfield park,17047.2
jefferson park,16043.700000000003
east side,14578.3
garfield ridge,13248.900000000003
forest glen,12888.399999999998
west pullman,12215.800000000001
archer heights,12195.2
montclare,11048.599999999999
morgan park,10383.699999999999
hegewisch,10160.5
edison park,8348.5
avalon park,8027.499999999999
burnside,7946.099999999999
mckinley park,7066.7
beverly,6155.8
calumet heights,6064.5
mount greenwood,5694.599999999999
clearing,5114.400000000001
lakeview,1856.6999999999998
o'hare,1302.5
fuller park,316.8
"119,727",125.76318867756001
